Review,Like,Haha,Angry,Date
"Absolutely terrible service never get anything you order food quality isn’t the best unfriendly staff wouldn’t recommend this place","2", 0, 0,"10 hrs"
"What a terrible store in Layton Utah. Ordered a meal on the KFC Website for delivery. Order arrived and left by door dash. Upon inspection I was missing an entire bucket of chicken! When I called the store they said they couldn't do much with online orders and sent me to a 800# where I was on hold for 13 minutes for a partial refund. What a joke.",0, 0, 0,"9 hrs"
"I love working at KFC. Great employees and great customers. It’s a great place to work",0, 0, 0,"26 December 2021 at 11:52"
"the kfc in Winchester va on fox drive is the worst place I have ever tried to get food from. every time I go there they never have any food available and the workers have horrible customer service. I made an online order. I went and tried to pick up my order. they specifically said we don't have your order available cause we don't have any chicken in stock. and then the manager refuse to refund my money when they didn't even have any food!",0, 0, 0,"1 January at 16:13"
"Their app is terrible their customer service is non-existent. They are only out for the money not to provide a decent meal! Called their 1 800 number no answer after waiting get sent to a voice mail Great Customer Service!","1", 0, 0,"23 December 2021 at 08:56"
"This is the most trashy KFC I’ve ever visited. Look at the pictures! The chicken is clearly burned. They-refuse to answer the phone. Please drive pass!",0, 0, 0,"28 December 2021 at 19:36"
"More KFC #reels #Viral #kfc #trending #tiktok",0, 0, 0,"29 December 2021 at 15:38"
"NASTY cold burnt chicken employees cant count to 8. slaw had hair in it. potatoes runny. Customer service doesn't care. shame WAS my favorite restaurant.","1", 0, 0,"24 December 2021 at 08:19"
"Poor service overall ..poor work ethics...poor customer service.",0, 0, 0,"23 December 2021 at 09:42"
"Terrible customer service in Watertown NY. The doors are locked dispute the fact it states open. And the girl at the drive thru was unbelievably rude. After I placed my large order I Waited 15 minutes for my chicken. This was my last time there I won’t go back.","2", 0, 0,"22 December 2021 at 12:36"
"They are rude inaccurate and gave me the finger when I questioned their poor service","2", 0, 0,"2 January at 17:11"
"Horrible service I got the 12 piece chicken only to find out they put 9 pieces in my box . Got mashed potatoes and cold slaw they didn’t put the gravy in the box either. I was sooo excited about the new KFC coming to Gaston. Wow so disappointed!!!","1", 0, 0,"17 hrs"
"Terrible Service rude workers excruciatingly slow service. - Do yourself a favor & eat ANYWHERE else.","2", 0, 0,"13h"
