"Review","Rating","Date","Author"
"â€œ
Let down by NatWest
Absolutely disgusted with the way NatWest have dealt with this situation after being scammed to pay off for a holiday that we did not receive and paid the good part of half a year to receive the holiday on the 31st had informed the bank of the situation unfortunately the person that I spoke to the first time on the phone was very rude and made me feel like it was my fault and I was stupid for booking a holiday online and not checking when I tried to explain to him that I checked as much as I can With the sources that was available to me at the time and everything seems fine I was very badly insulted as a result NatWest complaint compensated me Â£60 for the way I was dealt with but refused to take on the case as I told them the first time that I will try and get in contact with the retailer which I did which they lie to me as well and told me they would put my money back in and they havenâ€™t it is such a shame that such a high named bank Deals with customers in this way and makes it seem like they condone this sort of behaviour and they wash their hands of their customers and leave them with what has happened since now I have taken the case to the financial ombudsman and Iâ€™m sure they will do a better job than what NatWest have done very disappointed
â€","1"," 22 hours ago","Yusuf Bayram Zihni"
"â€œ
1 star: Bad
Just now
We have had a bad experience with thisâ€¦
We have had a bad experience with this bank . Just before Christmas i went to use my card to purchase something and this got declined , i tried again and this did not work again i then tried to log online with my account and i could not i then phoned them and was on the phone for 1hour and 30 minutes i finally got through and they said my account has been blocked and i have to go through to the fraud team online to find out why . this was very stressful for me, i then sent them a email to the fraud team and asked what has happened . they had said someone has blocked my account as they have not received a parcel which they had purchased from me so my account had been blocked . so to start with this bank did not even contact me to tell me they are blocking my account or even ask me any details that i have my end to prove i had sent this item , which is really unfair ,so i emailed them every day with the details of the parcel /reference number proof of sent , this was over the christmas time so the parcel was late , i contacted to buyer and they said they had not received this item and will contact me once they have received this i messaged every day and sent my bank proof of this, this went on for over a week and nothing from my bank i could not access my bank ,i went into the branch to withdraw money with my ID as it said on the emails that i can take ID into the branch and withdraw money which i had to borrow bus fair for this and when i got to the branch they said i could not withdraw at this time as this is under investigation . i had no money and was really upset that this was happening to me . after a week of not being able to withdraw or use my account . the buyer had sent me a messaged to say he had received the item and he will contact his bank . and the next day i could access my account but my bank did not contact me to let me know and no email to say it has been resolved nothing at all which i think i have been treated unfairly , with no reason . This has been such a stressful time for me and my family did not receive their gifts for christmas .
â€","1"," 1 week ago","Vanessa"
"â€œ
I spoke to such lovely people tonight who have made my Christmas
I have been worrying about paying my mortgage and they have come up with a solution for me Iâ€™m so glad I called.
I canâ€™t remember their names but they had wonderful customer service and were so helpful and understanding.
â€","5"," 3 weeks ago","Sarah Minskip/Norris"
"â€œ
My self and my business partner open business account with nat west . We deposit money from our personal account to the buisness account in order to buy a van for our business. When we tried to biy the van they blocked our money and they told us they will call a police. This is management in Darlington branch . They left us with out work and effecting our company. What is the worse thing they have used my phone numbers 15 years ago which was not given in my new application.
When you phone them they tell you we can not talk about the account is under investigation.
Can you imagine the managment is letting you know that they will contact police. Imagine if you are criminal you will know police will come to you. I am opening new account and after they will investigate my new account just close my account with them.
â€","1"," 1 month ago","Arben"
"â€œ
I asked for a charge back of Â£38.47.. for an item not received after a month..natwest accused me of fraud... tonight natwest were accused of money laundering and fraud and fined millions
â€","1"," 1 month ago","Elizabeth Lowes"
"â€œ
Only thing worse than being a Natwest customer must be admitting that you're a Natwest employee
â€","1"," 1 month ago","Anonymous"
"â€œ
Informed them online I was going to Japan for work until February and my card was blocked,then my account suspended when I tried using my card the first time.
No way of getting anything sorted until I get back home.DO NOT USE THIS APPALING BANK
â€","1"," 1 month ago","Anonymous"
"â€œ
Natwest accused me of charge back fraud after l put in a claim for goods not recieved l was telling the truth lmy order was delivered to china or Japan natwest didn't ask me for any proof they turn a blind eye to scammers my scammer is Chinese they would prefer to believe the fraudster brother then the innocent customer the firm sunny holo won't answer several emails complaints..I'm seeking legal action over defamation of character against NatWest they've put it in writing at natwest so l have proof l never received the item so can't fill in the next part
â€","1"," 1 month ago","Mrs Elizabeth Lowes"
"â€œ
Worst bank ever l got a very rude insulting response to my claim for a charge back l was scammed out of almost Â£40 by a Chinese company l put in a claim for the refund of My debit card payment l didn't receive anything except insults saying my claim was fraudulent and if l made more claims l would be reported it's disgusting to get treated like this l can't get any response from the company who took my money I keep sending emails natwest support scammers not customer s
â€","1"," 1 month ago","Mrs Elizabeth Lowes"
"â€œ
When trying to transfer funds into a bank account in my name I had the misfortune of being put through to the fraud team. Despite my having confirmed I am the account holder and am not under any duress to put through a payment I have some snotty nosed kid in a call center asking me why I'm transferring the money. At what point did Natwest turn into my mother? I refused to explain why I am moving these funds as, quite frankly, it's not of the banks business. Their duty of care to ensure they aren't liable for a scam is to ensure I am the account holder and am acting of my own volition, so for them to start questioning me as to why I'm making a transfer is unnecessary and intrusive. I have been a Natwest customer for over 30 years but this is unacceptable and will be closing my account.
â€","1"," 2 months ago","Christopher Salmon"
"â€œ
I NEVER write reviews but I am at a loss with how horrific the fraud team are! My next step is to call the police! I have had thousands stolen from my account and NatWest couldnâ€™t care less - they do an absolute minimum to help you. Iâ€™ve had to cancel my card 4 times!! STAY AWAY BANK LITERALLY ANYWHERE ELSE!!!!!
â€","1"," 2 months ago","Bryony James"
"â€œ
Absolutely the worst bank to deal with ..after several years still causing me hardship for a problem they caused ..I write to them regularly but just get fobbed off dishonest disrespectful bank
â€","1"," 2 months ago","Martin Mitchell"
"â€œ
Shockingly bad service at Leyland, lancashire branch. Rude arrogant staff who should know better having been there since the building was built. Despite banking a cheque for over 2k she then took my Â£300 cheque for cash into a back room and was gone for over 5 minutes leaving me and numerous customers standing waiting. Was then questioned as to who's signature was on the cheque. Their mannerisms are appalling. Closure of Leyland is long overdue.
â€","1"," 2 months ago","D Taylor"
"â€œ
I never write a review as I don't have the time, but I have to agree with so many reviews here. 40 years a business customer and now they want to check every transaction meaning time wasted on calls rather than working on my business. They are making it very clear that they are not interested in loyal small business customers. Like many here, they are now doing periodic reviews acting like my accountant or the HMRC. Totally invasive all in the name of money laundering. They make you feel like a criminal when they are the biggest Ponzi scheme in the world. Unless you have debt with them they have no interest. (pun intended).
â€","1"," 2 months ago","Ian"
"â€œ
Had to go to the NatWest Bank
In Yeovil, Somerset, to show staff my Dear Mothers death certificate, and the very helpful staff, set up my NatWest app, l am a OAP, bit slow with technology, the young lady could not have been any more helpful, so this is a positive review, thank you Nat West, you went above and beyond to help me x
â€","5"," 2 months ago","Nat West Bank Yeovil Somerset."
"â€œ
Constantly Harassing you for more information regarding your Business
Even though you have been with them
For 15 yearsâ€¦ then Threaten to close or freeze your account and so rude..stay well away from NatWest.
â€","1"," 2 months ago","Anonymous"
"â€œ
Keeping CTF money wonâ€™t send paper work or transfer the money into my sons account now heâ€™s turned 18.
If they do this to all the customers with CTF imagine how much this banking is earning on government money awarded to children.
â€","1"," 2 months ago","Anonymous"
"â€œ
Natwest have FINALLY made us look to move to another bank. After 50 years with them they should be ashamed of how they treat there customers. No respect has been shown to us on trying to make an online payment they are rude and couldnâ€™t care less.They ask customers to go paperless statements which obviously is good for the environment and we were told it would make no difference as we could have access to print them off. Doesnâ€™t work if you want your name and address on the statement , no good if you want it as ID. after spending hours on hold and been told different answers we are still awaiting an electronic statement which takes 48 hrs not what you call quick and after two attempts we are still waiting for it. Many will say we stayed to long . Tomorrow is a new day for us to find a new bank and hopefully a better banking future. Nothing can be as bad Natwest
â€","1"," 2 months ago","Anonymous"
"â€œ
Had fraudulent activity on my account. Rang the fraud team and waited an hour for someone to pick up. Went through the transactions and thought all was sorted. Went to use the account only to find they had blocked it which left me stranded on a night out .Went online the next day and was told my account would be reinstated. Checked the next day and it wasnt. Went online again and was told to ring the fraud team as they were the only ones able to unblock it. rang the fraud team again answered all the security questions but couldn't remember where I had used chip and pin in the last 7 days. Told to either post (!!!) a copy of my passport or go into branch. So far it has taken me 5 days to try and sort this out. Going to the branch is a nightmare as there is one member of staff to help people with their issues . An absolute appalling bank,avoid ,avoid,avoid
â€","1"," 2 months ago","A Fed Up Customer"
"â€œ
At 8 am on Saturday, today a Lady from Natwest called me being strictly rude! She asked some security questions and I answered.
After all, she says that I have to go to an agency to have my transfer approved from my personal to my business account!
I told them that I could not go and that the service is bad and she turn off the phone in my face and blocked my account use.
It is absurd!
â€","1"," 3 months ago","Vitor Perassolli"
"â€œ
Worse bank ever. They block my account 9 days ago and i keep calling them but nobody can help me or giving me any information,they tell me to wait, waiting for what .customer service so bad fraud team same they just shouting at me instead to understand i can wait any more i need my money . I call them every day they just transfer me from one department to another and the answer is we don't help you and we don't know., if they don't know why they are working there . This is not a bank they keeps people money. They affect my mental health. I made a complain they never answered to that ðŸ˜’. Don't trust this bank
â€","1"," 3 months ago","Maria Taneata"
"â€œ
Natwest have got the front to call them selfs a bank worse customer experience ever awfull wot a joke how I wos spoken to rude very rude I will be closing my acc asap disgusting attitude towards customers
â€","1"," 3 months ago","Sez Misiri"
"â€œ
They are stealing money from customers.
Avoid.
â€","1"," 3 months ago","Anonymous"
"â€œ
Appalling service. Waited 20 minutes for someone to speak to and then line went dead. Tried again next day to be told that I had to go into a branch to carry out a straightforward transfer. Useless.
â€","1"," 3 months ago","Helen Edwards"
"â€œ
HORRIFIC CUSTOMER SERVICE.
â€","1"," 3 months ago","Rikin Tanna"
"â€œ
Natwest has blocked my card for no reason and I cannot make purchases. I called the hotline, I was in the bank and for three days I have been trying to solve it to no successNatwest has blocked my card for no reason and I cannot make purchases. I called the hotline, I was in the bank and for three days I have been trying to solve it to no success
â€","1"," 3 months ago","Marek"
"â€œ
We have had yet another letter requesting information for our business profile and threatening AGAIN TO RESTRICT OUR ACCOUNT
THIS IS THE THIRD TIME IN LESS THAN YEAR.
EVERYTIME OUR ACCOUNT HAS BEEN RESTRICTED IT HAS COSTS US Â£1000S
AS A BUSINESS WE WOULD NOT RECOMMEND NATWEST AS ALL WE GET IS CONSTANT LETTERS ABOUT BUSINESS PROFILE DESPITE BEING A BUSINESS CUSTOMER FOR OVEWR 12 YEARS.
THEY THEN RESTRICT YOUR ACCOUNT MEANING YOU HAVE NO ACCESS TO YOUR ACCOUNT TO CONDUCT YOUR BUSINESS
AVOID THIS BANK AND USE OTHER BUSINESS ACCOUNTS AS NONE OF THEM HAVE EVER RESTRICTED OUR ACCOUNT.
ITS A DISGRACE AND WHEN YOU COMPLAIN THEY IGNORE THE COMPLAINT AND DONT RESPOND
WOULD NEVER RECOMMEND THEM
â€","1"," 3 months ago","Anonymous"
"â€œ
The worst customer service ever !! They have blocked my online banking and now not answering me. Visited the branch too but not helpful. I have been them for 20 years but now I am going to switch bank.
â€","1"," 3 months ago","Maryam Zandi"
"â€œ
i open an account with natwest,i put around 1k,few days later they just locked up my account with my money inside,this has happened 6 agoust 2021,on the branch i found a very rude guy that not help me,and another one very kind,but i'm still waiting for my money....
â€","1"," 4 months ago","Davide Lai"
"â€œ
Have tried to get online with them since 2016. On 1 Jul 21, I had a second go. It has been an epic journey since then. Forms sent, many letters, and huge numbers of emails, misdirected letters, and endless phone calls. Finally, 2.5 months later, I get an activation code. That doesn't work. It seems they have incorrectly noted my mobile number. Looks like I have to restart the whole journey. I am in Saudi. All formal communications via DHL (expensive!!). No customer service over the weekend. No access to my money and am living off the plastic. To call this a nightmare experience is understating it!
â€","1"," 4 months ago","Brecon Lachlan Darbyshire"
"â€œ
I personally received excellent service from natwest in Romsey talk about going the extra mile ..Today I received the same in my local branch in Penarth could not of asked for more .nothing was to much trouble 10 out of 10 shame I never got the name to highlight them
â€","5"," 4 months ago","Andrew Rose"
"â€œ
NatWest is rubbish l bought 3 pks of slimjoy l used the 30 day refund claim it's lies they didn't answer my 4 emails l filled in a NatWest claim form they replied saying we won't help you because you've had previous refunds l didn't know their was a limit on claiming your money back l don't recommend NatWest it says NatWest is 77th in the best banks that's a bad percent age it shows how awful they are refusing to help a pensioner l didn't get a refund
â€","1"," 4 months ago","Mrs Elizabeth Lowes"
"â€œ
Don't know who the people are behind their 'My Business Profile', but they are totally inept!! Must have phoned them over 30 times in connection with their requests. Different person every time I call. No-one deals with the information you send them, just keep getting weekly reminder letters saying they will restrict account. Covid is just an excuse for their extremely poor service!! Pull your finger out Nat West and employ people who are doing their job properly!!
â€","1"," 5 months ago","Stressed Out"
"â€œ
Disgraceful customer service,
after 40+ years I will moving to another bank.
â€","1"," 5 months ago","Anonymous"
"â€œ
Horrible customer service! Natwest bank lost my check and instead of finding out what happened they requested to ask for another check. Customer service representatives lie on a phone that they make notes under your account, when you call an hour later there are no notes.. In a request to speak with manager, customer representatives reply all managers are busy someone calls you back and noone calls you ever! Strongly upset that Natwest bank treats clients in such unprofessional negligent way
â€","1"," 5 months ago","Anonymous"
"â€œ
Customer service is rubbish! Iâ€™ll advised on a Credit Card was meant to be 0% turned out to be a lie!!!! Hacked into and deleted the said account which is a crime and illegal. Harassment and spreading my details to all and sundry so have had to block my phone!!!! The NatWest is putting my safety at risk and feel vey threatened!!!!! They just donâ€™t appear to deal with complaints even after 5-6 years they have not had the decency to admit their mistake and have certainly not deducted any monies paid. Really angry!!! Sick of their attitude. Wouldnâ€™t advise anyone to Bank with them and the sooner they are closed the better. The staff are useless!!???
â€","1"," 5 months ago","Anonymous"
"â€œ
The CTF managed by Natwest doesn't want to give our money back after holding for 18 years. Now my child is 18 years old and for more than 3 months I have been trying to get our hard earned money back but they are not willing to return the money. Today I was holding the phone for 1 hr 32 mins and 54 secs and then got fed up and disconnected. Their online portal doesnt work. So we don't know what is the balance in the account and how do we get back. There are lots of people having a similar review on Review Centte. Natwest has to somehow sort this problem out without any delay as we need our money back straightaway.
I complained to Natwest and gave all the details as required by them. Yesterday after checking with them about the status of my complaint. They said they have deleted it from their system and sent all the details to their CTF section, who have not bothered to contact us anyways. Somebody has to.take responsibility and sort this problem out. It is having a devastating effect on me and my child's physical and mental health. The situation is serious.
The indifference from Natwest is very disappointing. I am a customer of Natwest for more than 33 years.
â€","1"," 6 months ago","Fahmi56"
"â€œ
Closed my account after 30 years as the bank refused to guarantee my safety around volatile, abusive male employees.
Male employees are very disrespectful and verbally abusive to senior citizens. Fahim refused to serve me because he didn't know how to cancel a direct debit. So I closed my savings account.
The next time I went in, Kamel screamed at me like a mentally ill person for no reason.
Male employees appear mentally unstable and liable to flip out any minute. I was afraid to go back and wrote to Natwet 5 x to ask whether they could guarantee my safety - they refused to do and sent me flowers instead!. The most inappropriate response ever. I closed my current account after 30 years.
â€","1"," 6 months ago","Mrs May"
"â€œ
Very unprofessional team. They blocked the account for no reason. No bank codex. The bank is for the people, not the people for the bank. No dealing with people.
â€","1"," 6 months ago","Tony"
"â€œ
Usually Great communication and service but still to solve my problem
â€","5"," 6 months ago","DAVID BRADLEY"
"â€œ
I have been with Natwest since I was 15 I am now 63. When I had no or little money in my account they were great to me over the years. My daughter recently passed away and unfortunately I am her beneficiary. Now I have a substantial amount of money they have suddenly become unbelievable difficult to deal with. After all this time I am on the verge of closing my account. Money under the mattress might be a better option. Interest rates are negligible anyway and at least I won't have to deal with incompetent uncommunicative bank staff.
â€","1"," 7 months ago","Josephine Clovis"
